"","AMT","ARE","AVB","BXP","CBRE","CCI","CPT","CSGP","DLR","DOC","EQIX","EQR","ESS","EXR","FRT","HST","INVH","IRM","KIM","MAA","O","PLD","PSA","REG","SBAC","SPG","UDR","VICI","VTR","WELL","WY"
"282","254.094528198242","148.786605834961","191.62873840332","78.8381271362305","82.3000030517578","162.660552978516","128.237548828125","70.9899978637695","120.34260559082","24.7541656494141","665.813720703125","70.862922668457","257.799102783203","173.923416137695","96.4592361450195","15.8393459320068","35.7463035583496","44.9392471313477","19.6170902252197","168.924713134766","66.7208862304688","123.283111572266","300.561431884766","58.0050086975098","330.237579345703","94.714714050293","43.5347595214844","31.2710933685303","48.5866050720215","79.3143615722656","33.3795928955078"
"283","256.191070556641","148.507049560547","189.258911132812","79.1515045166016","83.5999984741211","163.255035400391","127.517158508301","72.5199966430664","120.445007324219","24.4277362823486","673.015991210938","69.9059448242188","256.495483398438","180.750137329102","96.5148162841797","15.8759708404541","35.454532623291","44.9299583435059","19.6721706390381","168.112716674805","65.9877014160156","124.569595336914","307.547729492188","58.3393859863281","335.803833007812","96.0167236328125","43.3656921386719","31.1247959136963","48.0277137756348","78.1199569702148","33.0631980895996"
"284","258.516357421875","149.010238647461","190.898132324219","77.5935516357422","82.3099975585938","163.117874145508","128.274963378906","72.870002746582","120.500862121582","24.3733310699463","673.828247070312","70.2999954223633","258.897796630859","181.59651184082","97.3208847045898","16.1872634887695","35.6898307800293","45.4688186645508","19.5895519256592","168.792526245117","66.41845703125","124.598205566406","309.579925537109","58.3393859863281","338.157287597656","95.0200119018555","43.8259315490723","31.1065139770508","47.3849830627441","76.7833633422852","32.7468070983887"
"285","259.393127441406","148.889099121094","191.937850952148","77.5308609008789","83.9700012207031","163.163589477539","128.433990478516","72.870002746582","120.528793334961","24.3091411590576","674.321166992188","70.5720748901367","259.549591064453","183.428756713867","97.9787063598633","16.4527759552002","35.6521873474121","48.5905075073242","19.6538105010986","169.51953125","66.6842346191406","125.208084106445","310.170013427734","58.3672485351562","337.297912597656","95.6305999755859","43.9198532104492","31.4996891021729","45.5965194702148","76.4800186157227","32.6816673278809"
"286","260.165008544922","151.442352294922","193.370986938477","77.611457824707","83.7600021362305","163.931838989258","129.098251342773","72.870002746582","121.934501647949","24.9601993560791","673.847473144531","71.0693359375","261.486328125","186.349182128906","99.248046875","16.5901145935059","35.898323059082","50.1606369018555","20.0760803222656","169.51953125","67.1424865722656","125.046081542969","314.393615722656","59.4818344116211","336.887817382812","97.7317810058594","44.2486038208008","31.6094131469727","46.2671890258789","77.3521194458008","33.1283378601074"
"287","263.195526123047","151.004364013672","197.099029541016","77.1279449462891","83.379997253418","164.498901367188","131.830078125","72.8899993896484","121.189743041992","25.2903137207031","674.55322265625","72.6736526489258","266.430572509766","189.185897827148","99.516716003418","16.6816692352295","36.4000663757324","49.5288696289062","20.2321357727051","171.181335449219","67.4082641601562","126.647041320801","321.155151367188","59.2031860351562","337.463958740234","96.9865112304688","45.0751457214355","31.7099914550781","47.0962219238281","78.3569564819336","32.7840347290039"
"288","264.729797363281","155.206970214844","200.190139770508","78.5784606933594","85.2799987792969","166.273208618164","134.112838745117","74.7300033569336","123.34952545166","25.8404998779297","685.873962402344","73.7713623046875","271.142028808594","192.376022338867","101.33268737793","17.1577644348145","36.8639450073242","50.2907104492188","20.7645568847656","174.429336547852","67.939826965332","128.085998535156","324.020874023438","60.4849586486816","342.141540527344","100.012557983398","46.19287109375","31.8288593292236","47.9718208312988","78.9731063842773","33.5750160217285"
"289","261.070343017578","155.589019775391","201.464019775391","80.3334045410156","85.3499984741211","163.602584838867","134.122207641602","73.8600006103516","120.119171142578","25.4828777313232","666.393859863281","73.7713623046875","272.585266113281","192.943359375","101.777412414551","17.5423069000244","36.8166084289551","49.789005279541","20.9756946563721","173.966674804688","67.6923904418945","127.914451599121","324.442230224609","60.6521606445312","335.432708740234","102.428016662598","46.2022590637207","31.8379974365234","48.0184020996094","77.0013961791992","33.9007186889648"
"290","264.663146972656","158.496337890625","204.349029541016","80.6826019287109","87.3899993896484","166.163452148438","136.330154418945","75.0599975585938","122.344123840332","26.0147247314453","681.136840820312","75.0191879272461","276.66357421875","197.13801574707","103.472938537598","17.8810653686523","37.4792938232422","50.1978034973145","21.4346790313721","177.309097290039","68.4347534179688","130.782836914062","329.368255615234","61.5809745788574","341.829132080078","104.026351928711","47.0851669311523","32.359188079834","48.8660545349121","78.385383605957","34.3287773132324"
"291","268.284454345703","158.449768066406","204.555114746094","79.7245483398438","87.6800003051758","168.413345336914","136.807281494141","75.3899993896484","123.908096313477","25.8771800994873","691.026733398438","75.037956237793","276.533233642578","198.840042114258","103.574844360352","17.5697708129883","37.6591567993164","50.6623344421387","21.6733531951904","178.130554199219","68.508056640625","131.869201660156","332.777130126953","61.590259552002","346.799682617188","101.691711425781","46.9912414550781","32.4871978759766","47.4129295349121","77.4374313354492","34.3846092224121"
