"","A","ABBV","ABT","ALGN","AMGN","BAX","BDX","BIIB","BIO","BMY","BSX","CAH","CI","CNC","COO","COR","CRL","CTLT","CVS","DGX","DHR","DVA","DXCM","ELV","EW","GILD","HCA","HOLX","HSIC","HUM","IDXX","ILMN","INCY","IQV","ISRG","JNJ","LH","LLY","MCK","MDT","MOH","MRK","MRNA","MTD","PFE","PODD","REGN","RMD","RVTY","STE","SYK","TECH","TFX","TMO","UHS","UNH","VRTX","VTRS","WAT","WST","XRAY","ZBH","ZTS"
"260","117.326438903809","143.013137817383","105.04224395752","236.669998168945","229.953811645508","61.3189392089844","240.180953979492","203.940002441406","495","72.9416427612305","37.2700004577637","50.1724586486816","255.832794189453","84.6100006103516","78.2595748901367","138.750732421875","213.970001220703","107.290000915527","87.9084930419922","128.295333862305","223.07243347168","79.9599990844727","74.5299987792969","472.500854492188","95.0899963378906","57.7681655883789","165.36572265625","69.3000030517578","76.7399978637695","461.912139892578","350.730010986328","184.360000610352","75.9700012207031","216.990005493164","200.710006713867","168.753433227539","196.953323364258","318.56982421875","323.015258789062","84.6674652099609","279.609985351562","86.8492050170898","142.850006103516","1148.77001953125","48.613712310791","217.940002441406","591.130004882812","206.274368286133","141.652496337891","202.65641784668","195.095123291016","86.0188369750977","243.309036254883","540.899536132812","99.645378112793","500.904266357422","281.790008544922","9.66495800018311","330.980010986328","301.062194824219","34.7261962890625","103.626579284668","169.279739379883"
"261","117.969673156738","143.610748291016","106.560127258301","247.339996337891","232.080383300781","62.5218315124512","245.315231323242","210.630004882812","502.339996337891","72.7900772094727","38.0099983215332","50.9691467285156","260.211181640625","86.2099990844727","79.6067276000977","140.378677368164","218.830001831055","107.019996643066","89.1228637695312","131.864990234375","227.058410644531","83.1100006103516","77.629997253418","475.829833984375","97.3899993896484","58.2822036743164","172.253479003906","70.1399993896484","77.1100006103516","472.658874511719","358.440002441406","191.039993286133","77.6699981689453","215.050003051758","206.100006103516","170.664306640625","202.483062744141","319.041442871094","326.302734375","86.2051696777344","282.899993896484","88.0399780273438","149.949996948242","1161.84997558594","48.5024528503418","226.460006713867","595.400024414062","212.266876220703","143.495132446289","207.384887695312","199.930084228516","87.6417388916016","252.453521728516","545.867614746094","104.849784851074","504.580902099609","287.320007324219","9.88650321960449","336.890014648438","306.408966064453","35.182991027832","105.806427001953","171.564514160156"
"262","119.305633544922","143.732116699219","105.670677185059","254.110000610352","233.195663452148","62.4263572692871","241.544891357422","212.580001831055","506","71.9564514160156","37.7599983215332","50.1532592773438","257.1142578125","84.75","78.9518966674805","137.995590209961","222.720001220703","105.98999786377","87.7851638793945","129.499542236328","224.823425292969","82.0699996948242","78.4599990844727","466.978607177734","97.9700012207031","58.2635078430176","169.813232421875","70.1900024414062","76.1500015258789","466.698364257812","366.869995117188","193.020004272461","79.25","215.309997558594","206.75","169.352386474609","201.684677124023","321.468353271484","319.222747802734","85.3655624389648","278.609985351562","88.2495346069336","155.539993286133","1175.46997070312","47.8812141418457","231.679992675781","596.559997558594","212.965515136719","143.983184814453","205.192672729492","198.125564575195","89.9048614501953","249.64289855957","542.681640625","103.791084289551","492.72216796875","288.980010986328","9.69265174865723","339.660003662109","304.736267089844","35.0858001708984","105.431625366211","171.603927612305"
"263","119.919166564941","142.424865722656","105.080924987793","249.539993286133","231.796859741211","62.159049987793","239.937393188477","215.979995727539","509.670013427734","72.202751159668","37.6599998474121","50.5276069641113","263.181945800781","86.0100021362305","78.1296157836914","137.142333984375","226.009994506836","109.199996948242","88.4113235473633","131.787445068359","228.809387207031","80.2399978637695","78.3499984741211","474.155578613281","97.9800033569336","58.6280097961426","163.328903198242","70.879997253418","76.3000030517578","471.198394775391","375.220001220703","195.389999389648","79.7200012207031","216","205.350006103516","169.504486083984","204.953811645508","324.386474609375","318.391021728516","84.5448379516602","280.720001220703","88.7163009643555","159.559997558594","1171.59997558594","48.9104194641113","230.320007324219","594.900024414062","213.811721801758","145.407470703125","206.824554443359","196.889846801758","90.0239791870117","249.197525024414","553.603515625","101.169097900391","502.523193359375","291.160003662109","9.50802898406982","342.269989013672","314.185180664062","34.6192893981934","104.287452697754","175.789352416992"
"264","121.868675231934","141.93000793457","105.854347229004","259.640014648438","233.84782409668","62.2545204162598","240.044570922852","217.960006713867","512.539978027344","71.1796798706055","37.8499984741211","50.6331939697266","267.735107421875","85.2600021362305","79.2418212890625","138.074035644531","229.429992675781","111.01000213623","88.9236221313477","131.612945556641","231.809829711914","83.7200012207031","81.9199981689453","468.829162597656","98.4300003051758","58.6186561584473","171.859909057617","71.7799987792969","77","470.083282470703","382.519989013672","202.199996948242","80.7799987792969","218.850006103516","208.710006713867","169.694610595703","205.382415771484","322.224884033203","318.103820800781","84.4316329956055","279.160003662109","88.6020050048828","172.399993896484","1207.30004882812","49.5316505432129","235.110000610352","607.450012207031","216.753875732422","145.915435791016","203.688613891602","197.811721801758","91.3788681030273","253.274932861328","551.333557128906","104.176971435547","501.6357421875","294.170013427734","9.61880207061768","342.940002441406","318.874786376953","34.4637794494629","104.612945556641","176.380279541016"
"265","121.235336303711","142.723663330078","105.631988525391","261.519989013672","234.849655151367","62.2258796691895","239.333343505859","218.800003051758","517.119995117188","71.4070205688477","37.8400001525879","50.7963676452637","271.045654296875","88.0100021362305","77.872184753418","139.800094604492","231.419998168945","111.809997558594","89.3505554199219","131.593551635742","232.082611083984","83.120002746582","81.2399978637695","474.175140380859","98.3899993896484","58.7308158874512","169.832931518555","71.379997253418","76.879997253418","477.020751953125","378.450012207031","197.039993286133","80.4800033569336","219.339996337891","208.809997558594","169.485443115234","205.004241943359","324.700866699219","327.956390380859","84.4127578735352","285.209991455078","88.3829040527344","176.229995727539","1221.28002929688","49.2998466491699","235.509994506836","621.570007324219","214.185653686523","145.427398681641","205.851333618164","197.007522583008","91.7982559204102","252.027969360352","551.283874511719","102.346519470215","505.780364990234","294.290008544922","9.55418491363525","346.25","317.102508544922","34.2208023071289","103.902763366699","175.277252197266"
"266","121.838996887207","143.078491210938","105.274269104004","249.479995727539","234.188064575195","61.5862464904785","237.423843383789","215.259994506836","521.869995117188","71.5775451660156","37.5099983215332","50.8635635375977","271.74462890625","87.2200012207031","76.1201400756836","138.593826293945","224.559997558594","110.790000915527","89.8533782958984","131.816543579102","233.43766784668","81.9599990844727","78.4300003051758","471.560882568359","96.879997253418","58.5625801086426","166.674392700195","71.4199981689453","76.5500030517578","480.622772216797","369.660003662109","190.320007324219","80.9599990844727","217.399993896484","205.720001220703","169.552017211914","203.9033203125","325.290435791016","325.589782714844","83.9127731323242","285.989990234375","89.8308639526367","175.259994506836","1222.82995605469","49.040225982666","230.820007324219","614.460021972656","213.3984375","144.013076782227","205.546585083008","193.6240234375","90.0885009765625","245.674331665039","555.5849609375","100.248931884766","504.14208984375","294.070007324219","9.27725124359131","349.940002441406","314.573486328125","33.783447265625","101.890609741211","174.351531982422"
"267","117.999359130859","142.359527587891","104.70386505127","248.979995727539","233.422500610352","61.74853515625","230.818420410156","215.580001831055","500.290008544922","71.056526184082","36.8800010681152","51.0651359558105","271.201019287109","86.9100036621094","74.2756195068359","138.65266418457","217.520004272461","104.610000610352","90.1095352172852","129.993957519531","222.350921630859","84.5","78.0500030517578","467.987121582031","96.3399963378906","58.2635078430176","167.382843017578","70.6800003051758","76.2200012207031","476.813507080078","362.459991455078","187.990005493164","80.4199981689453","213.529998779297","202.130004882812","167.175354003906","201.617431640625","317.941009521484","324.173828125","83.6674957275391","285.390014648438","89.1640396118164","173.25","1190.56005859375","48.2521018981934","224.600006103516","610.090026855469","212.325897216797","138.046981811523","204.416091918945","191.946990966797","87.5474395751953","241.250518798828","528.603637695312","100.753540039062","501.674713134766","290.010009765625","9.43418025970459","341.410003662109","295.486450195312","33.8417663574219","101.624282836914","171.170593261719"
"268","117.415496826172","142.070068359375","102.683265686035","249.860000610352","233.535888671875","60.8893280029297","229.396041870117","214.529998779297","499.170013427734","70.6018218994141","36.7700004577637","50.7771797180176","265.764343261719","85.1900024414062","73.0234451293945","136.426406860352","214.389999389648","103.690002441406","88.6579818725586","129.024490356445","220.934280395508","83.9800033569336","76.3499984741211","460.878753662109","95.9300003051758","58.375659942627","166.595657348633","70.3499984741211","75.5599975585938","467.329986572266","363.329986572266","181.179992675781","79.4100036621094","211.830001831055","202.059997558594","166.785568237305","201.936813354492","316.830718994141","321.995330810547","82.9316787719727","282.339996337891","89.3259811401367","171.240005493164","1172.33996582031","48.0202980041504","226.550003051758","602.02001953125","214.756378173828","136.542953491211","201.938766479492","190.436676025391","86.5920715332031","240.003524780273","520.857788085938","100.971221923828","488.8212890625","288.730010986328","9.21263313293457","336.440002441406","298.702514648438","33.6862602233887","101.042335510254","165.261688232422"
"269","114.67431640625","141.787307739258","102.654136657715","247.179992675781","232.118194580078","60.5456428527832","228.129516601562","214.270004272461","487.950012207031","70.1092224121094","36.7099990844727","51.8810272216797","257.182220458984","85.7600021362305","72.1061859130859","136.838333129883","210.429992675781","100.199996948242","88.0697860717773","129.160232543945","218.268173217773","82.629997253418","76.5","456.649047851562","96.9100036621094","57.7681655883789","164.804840087891","69.3899993896484","75.1900024414062","466.382568359375","366.059997558594","177.229995727539","79.629997253418","212","204.309997558594","167.013702392578","202.004028320312","321.183410644531","323.292510986328","82.554328918457","285.070007324219","89.4307632446289","159.919998168945","1138.21997070312","47.6494140625","227.470001220703","598.859985351562","218.367630004883","133.146575927734","203.285552978516","188.67138671875","84.7160339355469","236.618881225586","523.326904296875","99.2100296020508","489.981781005859","286.149993896484","9.09263038635254","328.549987792969","293.096801757812","33.2391891479492","100.263114929199","168.196441650391"
"270","117.593620300293","144.784408569336","105.67423248291","254.880004882812","235.048141479492","61.9681205749512","233.078689575195","217.009994506836","494.040008544922","71.6627883911133","37.5499992370605","52.9944725036621","266.113830566406","89.6600036621094","73.3583602905273","139.476425170898","219.75","103.169998168945","90.4795379638672","131.709884643555","225.061004638672","85.4700012207031","79.1399993896484","478.708465576172","99.4300003051758","58.5065002441406","168.858810424805","70.5899963378906","76.5299987792969","481.126007080078","370.140014648438","189.210006713867","80.0299987792969","219.080001831055","210.919998168945","169.437927246094","205.483245849609","325.811218261719","326.768157958984","84.0731582641602","298.890014648438","90.459587097168","166.910003662109","1158.9599609375","47.9832077026367","232.279998779297","607.539978027344","221.890319824219","134.610717773438","205.713714599609","191.005493164062","85.450569152832","241.616683959961","536.508911132812","101.960662841797","516.624938964844","292.839996337891","9.09263038635254","334.010009765625","299.140533447266","33.9292335510254","102.09774017334","171.889465332031"
"271","113.912338256836","140.967346191406","103.926261901855","254.080001831055","230.46418762207","61.4430503845215","228.275665283203","214.339996337891","475.790008544922","69.8534622192383","37.1699981689453","52.5433387756348","260.521850585938","89.7200012207031","73.5158233642578","137.691543579102","212.600006103516","99.9300003051758","89.4549026489258","129.5673828125","217.388275146484","84.9599990844727","76.9899978637695","470.757995605469","97.4499969482422","56.9176750183105","168.937515258789","68.4700012207031","76.5899963378906","478.086547851562","360.600006103516","187.289993286133","78.8600006103516","212.869995117188","206.259994506836","165.635284423828","202.432632446289","316.15283203125","322.837005615234","82.922233581543","298.019989013672","87.9637451171875","163.399993896484","1122.80004882812","47.0559997558594","225.369995117188","586.700012207031","215.258193969727","131.841812133789","204.40625","185.621322631836","83.4380645751953","241.854202270508","518.478210449219","102.65323638916","506.502044677734","286.059997558594","9.07416725158691","323.390014648438","290.717163085938","33.8028831481934","102.068145751953","169.151718139648"
"272","117.821228027344","141.127578735352","106.752143859863","267.309997558594","233.753295898438","62.3595352172852","232.318771362305","220.259994506836","490.089996337891","69.2850875854492","37.7099990844727","53.445613861084","266.589599609375","91.3499984741211","75.755241394043","140.329650878906","226.009994506836","102.720001220703","91.8267135620117","132.485443115234","225.034606933594","87.6699981689453","80.6399993896484","487.040679931641","101.23999786377","58.0578918457031","175.323471069336","70.4899978637695","77.9499969482422","488.793792724609","377.100006103516","194.639999389648","81.3600006103516","220.5","214.440002441406","163.220550537109","206.684997558594","320.505462646484","326.738464355469","85.2146224975586","304.950012207031","87.9828109741211","167.139999389648","1156.86999511719","47.6308670043945","231.210006713867","595.72998046875","221.162170410156","136.841781616211","209.36083984375","193.496551513672","86.9121704101562","251.919097900391","534.517639160156","106.581275939941","520.233215332031","289.600006103516","9.29571342468262","330.760009765625","299.076019287109","34.8719825744629","105.776840209961","174.725769042969"
"273","118.612907409668","139.195465087891","105.101295471191","274.489990234375","233.101150512695","62.6172904968262","231.081481933594","207.490005493164","496.040008544922","68.9819564819336","37.2799987792969","53.4552154541016","258.939422607422","90.1600036621094","76.7574615478516","138.760528564453","230.220001220703","104.209999084473","90.2708053588867","130.721054077148","225.254577636719","86.1699981689453","82.1900024414062","449.942077636719","101.529998779297","57.5251693725586","175.943359375","70.1100006103516","78","477.32666015625","383.809997558594","200.660003662109","82.4899978637695","220.600006103516","219.220001220703","162.28889465332","206.130355834961","316.408203125","323.401428222656","84.1769256591797","299.140014648438","85.4012451171875","166.889999389648","1166.42004394531","47.1209030151367","236.979995727539","594.590026855469","223.26789855957","139.431411743164","209.813034057617","194.232070922852","88.4829711914062","255.105834960938","536.289855957031","106.85831451416","506.599578857422","285.5","9.20340442657471","329.899993896484","302.284088134766","35.1149635314941","106.526473999023","173.89208984375"
"274","125.866645812988","139.252014160156","107.490180969238","284.239990234375","232.297775268555","63.037353515625","234.871307373047","214.059997558594","534.409973144531","69.1903533935547","38.1199989318848","53.8775596618652","258.580261230469","90.5100021362305","78.9493942260742","139.397979736328","238.039993286133","110.099998474121","88.9253387451172","130.517471313477","245.694686889648","86.1699981689453","83.9899978637695","452.291931152344","103.769996643066","57.0204734802246","178.403289794922","71.8899993896484","77.9400024414062","479.310241699219","398.350006103516","207","82.8600006103516","225.630004882812","224.75","162.859313964844","209.33219909668","321.212860107422","324.599609375","85.1485900878906","302.519989013672","85.8680191040039","168.889999389648","1240.2900390625","47.3990631103516","244.339996337891","592.440002441406","229.181701660156","147.443328857422","215.986618041992","196.379867553711","91.8429107666016","264.557098388672","572.480529785156","108.322685241699","509.515533447266","283.109985351562","9.12032413482666","349.480010986328","315.425109863281","35.4454116821289","106.970329284668","178.183868408203"
"275","123.73900604248","139.930603027344","106.043243408203","265.880004882812","232.458465576172","63.1614685058594","235.894287109375","206.25","524.619995117188","69.1051025390625","38.1199989318848","54.7030487060547","261.347106933594","90.9400024414062","78.3395538330078","139.751052856445","237.009994506836","107.610000610352","89.7555313110352","127.027450561523","240.952011108398","87.0999984741211","83.7799987792969","450.000854492188","102.580001831055","56.8242111206055","198.791107177734","70.5400009155273","77.0400009155273","482.537200927734","393.510009765625","201.690002441406","80.9000015258789","221.740005493164","211.850006103516","163.629318237305","207.021148681641","323.010894775391","327.203857421875","85.5825424194336","301.670013427734","85.8394470214844","163.520004272461","1224.14001464844","47.5010604858398","240.639999389648","586.109985351562","228.040267944336","146.157821655273","213.843536376953","195.57568359375","90.1405944824219","262.439208984375","559.079406738281","109.816711425781","508.491516113281","280.290008544922","8.81569671630859","345.679992675781","312.476104736328","34.9497375488281","105.540130615234","175.796264648438"
"276","122.967132568359","141.579956054688","105.363487243652","252.070007324219","235.076522827148","63.2569313049316","236.381393432617","207.570007324219","528.179992675781","69.0009002685547","38","54.9814071655273","264.677001953125","91.9300003051758","78.4070358276367","141.369216918945","235.320007324219","107.919998168945","90.1658477783203","127.046821594238","240.547256469727","85.8899993896484","82.5999984741211","461.025634765625","102.089996337891","56.7774810791016","195.445617675781","70.2600021362305","77.4199981689453","485.320098876953","375.559997558594","199.509994506836","80.620002746582","221.619995117188","219.169998168945","163.952606201172","207.483367919922","325.762023925781","332.907440185547","85.6108474731445","307.709991455078","86.2395324707031","165.690002441406","1230.21997070312","48.0017509460449","240.580001831055","587.280029296875","232.241943359375","145.878784179688","214.374420166016","197.625366210938","89.6070861816406","260.351043701172","564.953674316406","108.936111450195","516.351745605469","283.679992675781","8.99108791351318","344.940002441406","312.346618652344","34.7456359863281","106.427833557129","172.836380004883"
"277","123.867660522461","142.192565917969","105.936424255371","251.860000610352","237.363754272461","63.7151794433594","237.862228393555","210.850006103516","534.679992675781","69.7492599487305","37.9599990844727","55.4805450439453","266.812835693359","93.1500015258789","77.6996612548828","142.398956298828","232.729995727539","107.629997253418","90.9483184814453","129.131149291992","243.292541503906","85.5699996948242","82.6999969482422","459.165344238281","102.129997253418","56.6559829711914","200.670501708984","70.0599975585938","77.5599975585938","485.803680419922","377","199.289993286133","79.8399963378906","219.679992675781","216.789993286133","165.112380981445","207.508560180664","325.771850585938","334.363067626953","86.6957168579102","308.679992675781","86.9635238647461","160.899993896484","1235.84997558594","48.4931755065918","239.5","582.559997558594","234.347686767578","147.343688964844","215.740844726562","200.469482421875","91.9719619750977","259.925476074219","570.758178710938","108.203948974609","518.419372558594","288.220001220703","9.15724658966064","349.140014648438","312.197082519531","34.8233909606934","106.546195983887","174.020324707031"
"278","126.381225585938","142.456466674805","106.810409545898","262.609985351562","237.91194152832","63.7724494934082","238.047348022461","212.919998168945","546.690002441406","70.8670654296875","40.310001373291","55.7780990600586","266.715728759766","92.5100021362305","79.6268310546875","142.271469116211","237.360000610352","109.410003662109","91.4826965332031","130.197540283203","246.41618347168","86.9199981689453","85.8000030517578","458.225372314453","105.610000610352","56.9176750183105","201.378952026367","70.9400024414062","77.7399978637695","472.056884765625","385.959991455078","207.169998168945","80.6800003051758","225.130004882812","225.339996337891","164.656051635742","209.651565551758","323.197601318359","336.293884277344","87.9409637451172","305.850006103516","86.906364440918","158.020004272461","1273.56005859375","48.1686553955078","243.610000610352","587.909973144531","236.315643310547","150.163787841797","217.775756835938","207.717010498047","92.9174118041992","263.775268554688","579.380187988281","108.114875793457","521.364501953125","286.989990234375","9.29571342468262","355.329986572266","319.330596923828","35.4648513793945","109.594047546387","175.095748901367"
