"","AEE","AEP","AES","ATO","AWK","CMS","CNP","D","DTE","DUK","ED","EIX","ES","ETR","EVRG","EXC","FE","LNT","NEE","NI","NRG","PCG","PEG","PNW","PPL","SO","SRE","WEC","XEL"
"394","87.0344772338867","92.7416687011719","26.5773544311523","112.903900146484","157.35319519043","62.6763381958008","30.0962028503418","58.3054008483887","115.444122314453","100.066062927246","94.3046951293945","65.6995697021484","81.4866638183594","103.002548217773","60.8358612060547","42.1530418395996","40.6428642272949","53.5253486633301","81.9160690307617","26.6437797546387","30.7419624328613","15.7415351867676","61.0420150756836","72.1849365234375","29.3989906311035","68.0257110595703","77.7275085449219","93.7783279418945","69.6235580444336"
"395","86.1989059448242","91.582763671875","26.5390167236328","112.565361022949","155.403594970703","61.6699028015137","30.0189094543457","58.80078125","114.172248840332","99.5167617797852","93.2718505859375","64.7815475463867","80.8409194946289","101.156280517578","60.3730430603027","41.4272537231445","40.8609657287598","53.3913955688477","81.9835357666016","26.6151580810547","31.0561428070068","15.9512901306152","59.9160232543945","71.9394836425781","29.3226280212402","66.8659591674805","77.1855392456055","92.498649597168","68.8295440673828"
"396","86.5830764770508","90.0913696289062","26.7019538879395","110.979118347168","154.867446899414","61.2673377990723","30.250789642334","58.8101272583008","112.776054382324","99.4220581054688","92.2772521972656","64.5449523925781","79.7868423461914","100.891181945801","59.4001960754395","41.4272537231445","40.519588470459","53.1139106750488","81.6076889038086","26.5102272033691","30.3516178131104","15.8713836669922","59.7919769287109","71.1558837890625","29.2176342010498","66.8469619750977","77.137580871582","91.4386367797852","68.083381652832"
"397","85.7090835571289","90.1103668212891","26.4527587890625","110.21501159668","153.278549194336","60.8456001281738","30.0285701751709","58.4362564086914","112.183151245117","98.7023010253906","91.3209075927734","65.0181427001953","79.5114593505859","101.222564697266","59.097957611084","41.217155456543","40.7661399841309","52.7024765014648","82.6292190551758","26.3480567932129","30.6086750030518","15.8514060974121","60.0209884643555","70.9104156494141","29.198543548584","66.5902938842773","77.5884246826172","90.7605972290039","68.0068511962891"
"398","83.250373840332","87.8210296630859","25.801025390625","107.961387634277","148.843170166016","58.7656555175781","29.3619136810303","57.772632598877","108.922187805176","96.8365936279297","89.2647857666016","63.2105178833008","77.1184234619141","101.86637878418","57.1617126464844","40.3290176391602","39.9411430358887","51.3916091918945","80.7596130371094","25.7947654724121","30.1136016845703","15.5917110443115","58.0457382202148","70.2306747436523","28.358570098877","64.3753662109375","75.1519470214844","88.3636245727539","65.7779083251953"
"399","82.6357040405273","87.0420913696289","25.5326614379883","108.367614746094","146.406158447266","58.5643653869629","29.2556381225586","57.9595642089844","107.640739440918","96.5714263916016","88.4423370361328","62.1505508422852","75.7604675292969","101.307777404785","55.9621810913086","40.147575378418","39.7325248718262","50.9131965637207","79.5935134887695","25.5944347381592","29.5423698425293","15.4219093322754","57.2728118896484","70.0418701171875","27.8240451812744","63.168083190918","74.7154922485352","87.6664962768555","65.0508728027344"
"400","83.250373840332","87.555061340332","25.8106079101562","109.296157836914","147.722122192383","59.4366035461426","29.0913867950439","58.3427886962891","108.989112854004","96.4293670654297","89.6951370239258","63.153736114502","75.7224884033203","101.724365234375","56.3305435180664","40.4340705871582","40.0170059204102","51.563835144043","78.851448059082","25.9569358825684","30.6657943725586","15.631664276123","57.6640472412109","71.1464385986328","27.9863128662109","63.805004119873","75.7754592895508","88.8888626098633","65.5770111083984"
"401","82.5780792236328","88.0205230712891","25.7914390563965","109.799110412598","147.16650390625","59.1490478515625","28.985107421875","58.856861114502","108.797859191895","95.6433029174805","89.4656219482422","63.4376564025879","75.8649215698242","101.071075439453","56.8027992248535","39.9374771118164","39.011833190918","51.554271697998","79.6706161499023","25.8424625396729","30.8657264709473","15.7115707397461","58.1029853820801","69.6359100341797","27.9863128662109","63.5578422546387","76.1351699829102","88.6501083374023","65.060432434082"
"402","83.0486831665039","88.0585174560547","25.8681163787842","111.085510253906","150.646530151367","59.2257385253906","29.16868019104","58.398868560791","108.472724914551","96.0031814575195","89.9437789916992","64.1853179931641","76.2067947387695","101.563400268555","57.9456481933594","39.6414337158203","39.0497665405273","51.9848480224609","80.8559799194336","26.0618686676025","31.322717666626","15.8114528656006","58.1602439880371","69.9191284179688","28.1485786437988","63.4057388305664","76.3174209594727","88.697868347168","65.3761215209961"
"403","83.4520721435547","87.7260360717773","25.8872833251953","111.366012573242","151.59211730957","59.57080078125","29.0237560272217","58.2493209838867","108.453598022461","96.0505447387695","90.3263168334961","63.9108619689941","75.6939926147461","101.781173706055","58.4934730529785","39.5554847717285","38.8790817260742","52.061393737793","73.8111877441406","26.3098945617676","31.560733795166","15.9812545776367","58.0648193359375","69.6264724731445","28.1581230163574","63.9380874633789","76.2502822875977","88.5641708374023","65.5865707397461"
"404","83.9899063110352","88.3339920043945","26.4719257354736","111.694862365723","152.264724731445","59.8487586975098","28.985107421875","58.4923362731934","108.396217346191","95.9747695922852","90.7375411987305","64.7058486938477","76.2732543945312","102.699569702148","57.9928817749023","39.7273826599121","39.2489051818848","52.0996704101562","73.6280975341797","26.2717399597168","31.8844337463379","15.8314304351807","58.2365837097168","69.8813629150391","28.3299369812012","64.1852493286133","76.9793090820312","88.6787643432617","65.816162109375"
"405","83.7305908203125","88.4099884033203","25.8489475250244","112.149459838867","153.064086914062","59.8966865539551","28.7339038848877","58.3708267211914","108.625717163086","96.2020645141602","90.7662353515625","65.056022644043","76.8620300292969","102.926803588867","58.3140182495117","39.8133277893066","39.0971794128418","52.0709571838379","72.8378372192383","26.2526607513428","32.131965637207","16.0411834716797","57.8548889160156","69.9285659790039","28.2822113037109","64.6415405273438","77.6172027587891","88.5928115844727","65.4622192382812"
"406","83.4712829589844","88.2200012207031","25.3505611419678","111.743232727051","151.094970703125","60.0692100524902","28.8305206298828","58.5951538085938","109.333389282227","96.2588882446289","90.9001235961914","64.488166809082","77.2703552246094","101.961067199707","58.266788482666","39.8706321716309","39.1635589599609","51.7650985717773","72.3270797729492","26.2812767028809","31.9415550231934","15.8314304351807","58.3033828735352","69.8719253540039","28.1103992462158","64.0996932983398","77.3342361450195","88.449577331543","65.1465301513672"
