"","CommunicationServicesAvg","IndustrialsAvg","UtilitiesAvg","EnergyAvg","FinancialsAvg","InformationTechAvg","ConsumerDiscretionaryAvg","RealEstateAvg","HealthcareAvg","MaterialsAvg","ConsumerStaplesAvg"
"287",93.99013857408,158.024256656696,71.0674720632619,68.9901329538097,138.024035386636,189.773156136733,311.234285156682,133.154080606276,219.539641910129,120.123528003693,109.229253201871
"288",96.6586151123046,161.689068880948,71.2867245509707,69.5251894411834,141.315721619297,196.002559089661,319.896945701455,135.274879024875,223.989601513696,123.738090378897,109.862027864198
"289",96.8177678368308,162.171652781499,71.2946626071272,72.294877010843,141.821895988894,194.599627054655,320.584700890307,134.292835789342,223.060107382517,124.31119118418,109.381582517882
"290",98.7945173436946,165.303871848366,72.500567107365,72.9211977253789,144.15652489998,198.770460026081,326.374506986366,136.653965796194,225.591390594604,126.92928140504,110.512041143469
"291",99.3772360628302,165.742943974284,73.1009051881987,71.5278789686121,144.490857581018,199.716698866624,327.341335836447,137.4757167447,226.720756091769,126.965079001018,111.460299620757
"292",99.9201218431646,166.174505258535,73.3356102910535,71.4819067250128,145.053124414363,198.74662959759,331.143645412517,137.180022885722,225.192413965861,127.628966535841,112.560252215411
"293",97.66738986969,164.877193785333,73.2651332657912,72.1733278191608,144.327322006226,196.181451768141,328.782608877938,136.760418984198,222.871619799781,125.984796932765,112.355090167071
"294",97.3337189500982,165.497559213019,73.4575306793739,74.3825611446214,144.955605896426,197.812710453914,329.563317820711,135.474867359284,222.057520866394,126.177898441042,112.793994800465
"295",95.7763412648982,163.501848542845,73.5145442239169,74.4352187281069,142.160889021108,193.39014147245,322.20736503601,134.323357243692,221.007994364178,124.033862999507,112.206313571414
"296",92.6490741643039,160.119752846755,72.4967497792737,74.4118185457976,139.203247459841,187.956441233708,314.978920486738,131.472061218754,217.060910194639,122.097014972142,110.945958317937
"297",91.9107362140309,160.19797055133,71.9963352926847,76.7984167181927,138.367097585974,188.102745232215,314.345238955516,129.540285910329,214.068709282648,123.027451889856,110.803838781408
"298",92.2568249268965,160.852056230818,72.1889525446398,78.0338205254597,138.883802199028,188.601383737417,315.840901788676,130.312136127103,215.434098818945,123.594114848546,111.138606509647
"299",94.0626772533763,163.166562439559,72.6180702077932,78.6772931140402,140.854168918771,192.67000012031,319.798003178722,132.550777312248,218.70022156125,126.426380702427,111.365058486526
"300",91.4734248248014,157.5049029759,71.5335014935198,77.7875100840693,136.568325284501,184.173138398391,309.095888263774,129.268411759407,210.88828224606,122.682923623494,108.182807406864
"301",90.6568735729564,156.521540034901,71.8416959499491,79.0412986589515,135.534863780922,181.502485730098,308.480644370025,127.874026083177,209.892890718248,121.974926914488,108.046376099458
"302",89.6344213052228,154.325097839554,70.8064618275083,76.2240151115086,134.675560749752,180.118640650236,305.119580484786,126.122193551833,208.351871626718,119.758762666157,107.1000278576
"303",89.8405143997886,153.145739196183,70.2360428777234,75.6650538237199,133.826900226969,178.67391197498,303.169412954798,125.671796675651,207.254114166139,118.489335468837,106.406422589276
"304",90.6458668275314,153.588326813339,71.2568345892019,73.6101706131645,134.542899507872,176.783561779903,303.669173168686,126.189450633141,209.192321156699,116.966976676668,107.163553804965
"305",88.9281607541172,152.02031653268,70.4974924284836,75.2141750169837,133.354264648867,175.443039028461,302.289734156627,124.052975962239,206.42735744658,116.788360561643,105.960557267473
"306",87.5691048882224,152.608125054991,70.3616635552768,74.2590425740118,133.72493132739,174.566895998441,301.295438784474,125.588465352212,206.301333639357,116.707506350109,105.192600456444
"307",89.4509320259094,155.606749039192,72.6355716113387,73.3923342331596,136.603204646581,178.608518893902,309.929962572062,127.924373442127,211.460648915124,120.231274434498,107.30246899579
"308",89.1494840708646,156.308525345542,72.5437937111691,73.7193983326787,138.472090788291,180.811239580008,313.475469427289,128.364059202133,217.035137782021,121.410519906453,106.892565237509
"309",91.6685120842673,158.262488340403,72.903926520512,75.61591861559,139.821567857769,183.880974945655,317.937579298919,129.424425494286,219.410790110391,123.139138528279,107.87836188239
"310",92.3665944446217,158.949900973927,73.637294243122,77.3257847661558,140.913084903234,185.358498250521,321.243564947596,130.373664979012,220.750451875111,123.804271834237,108.273231506348
"311",87.5553942593661,153.063950105147,71.5464433801585,75.2128672392472,135.70056821259,176.837819554256,306.846300772901,125.496551944364,212.135051712157,119.274678775242,104.561227437612
"312",87.9562598575245,153.086454849739,72.1787485583075,77.605493047963,135.409925393655,178.061485393231,307.624270745044,124.056199043028,210.921265132843,117.498775618417,104.260670223752
"313",87.7204426852139,151.294333965747,70.3573077300499,75.4377137889033,134.766322968711,173.609771200327,306.726517155485,121.576663109564,211.544115656898,116.039900268827,103.683879336795
"314",86.8052145784552,148.961097519119,70.2868048898105,73.771564234858,133.504112471997,172.815086584825,305.900804069807,121.889469269783,209.107272496299,113.607127223696,103.767636531108
"315",87.0806856155395,151.076628684998,70.9866228103638,73.6634478361709,134.272431534781,173.065266682551,307.708065032959,121.533710479736,208.667639414469,115.829258714403,104.609606871734
"316",85.6348642435941,149.045280890031,69.9427525750522,73.2536560556163,132.22643985211,170.435047619159,305.416828497401,118.45181674342,205.33368881165,113.635100534984,103.798095960875
"317",83.2489787448536,147.111238975029,69.0795902712592,72.014157709868,129.653769251326,168.498184380165,299.224652542258,117.022720644551,201.865626365419,111.505723237991,103.347184825588
"318",81.761381409385,144.649629308032,68.9400939941407,71.5657222167305,127.011017638193,164.655066636892,292.393133181446,115.886102891737,200.241988681612,109.715553760529,102.886391253085
"319",79.5810948285189,142.259585157617,68.1007862091064,66.201698427615,125.302693152092,162.261398462149,290.452763269532,114.521002215724,199.250529364934,107.697348492486,101.275239171209
"320",78.0257796807723,140.772654459074,66.407570510075,64.2966812797214,123.362855266517,160.807455693758,287.206247707583,111.784480556365,196.971404665992,105.934684957777,101.179809724962
"321",77.9267761057074,140.276011900468,65.0901006501297,65.1095101729683,122.950174465985,161.661062431335,287.379053475722,110.276059212223,196.089104493459,106.114803620747,99.8324147817251
"322",81.1934123039246,143.471536859289,65.8160251748973,68.5324315195498,125.152799404843,164.641550636292,297.271271705627,112.632685415206,201.244227863493,108.89721427645,101.444453316766
"323",79.2342386679216,140.917557357194,63.0914675613929,68.4952878537385,123.921600570141,161.24524399684,290.476812200726,109.962644761608,199.191080396138,107.121635573251,99.7122555294553
"324",78.1242379708723,139.690894969098,61.7382265288254,68.1591827973076,122.652503376276,158.917983891414,286.607664315206,111.227207737584,197.049606883337,106.92211665426,98.2234803277093
"325",80.7256021066146,143.978796971309,63.4946521561721,72.2660234285437,126.099960125668,164.05647852971,293.309893581103,113.115645900849,203.107199320717,110.363160065242,100.03314765724
"326",82.781306700273,148.798474485224,64.710765937279,75.8039634538733,130.673725652023,170.058987969619,302.971667127789,114.791078044522,208.915649353512,114.107691151755,101.676321287413
"327",82.296735980294,148.054483599477,63.1488514933093,77.1621014968208,130.141220495734,170.094560080308,302.424948683325,112.384692899642,210.093990416754,112.845382792609,101.152405300656
"328",82.0885900584134,146.587898328707,61.0975833103574,78.2853636119677,128.419634926487,168.447174277672,300.892922518388,108.925818412535,207.856269382295,111.852348566055,100.065004709605
"329",79.7054930600253,143.575159741687,59.8373940237637,77.6603100818136,125.502902259289,161.54125888531,295.108452095176,106.105177787042,202.663719222659,108.897827863693,98.4029082736454
"330",79.7784152897922,143.864141650014,59.9868932921311,76.0519771161287,124.965091275497,157.408631662222,294.093574146055,104.866948496911,200.104521796817,109.298567397254,98.8342475375614
"331",77.8024641817266,143.584445804745,59.9918356928332,75.4249712073284,123.638559099654,154.02017319019,293.851018626735,105.761712535735,200.242093449547,108.5917264734,99.4061416935276
"332",77.864223133434,141.841121190554,58.0045610296315,76.2051797949749,122.871142615735,153.272126241831,292.008598192683,104.036908888048,198.790314765204,107.093874999455,99.4695134549528
