"","APA","BKR","COP","CTRA","CVX","DVN","EOG","EQT","FANG","HAL","HES","KMI","MPC","MRO","OKE","OXY","PSX","PXD","SLB","TRGP","VLO","WMB","XOM"
"416","16.0868873596191","20.793701171875","41.3381881713867","14.3348093032837","80.3297348022461","15.6999731063843","49.8089714050293","16.2117576599121","57.9554328918457","18.5808410644531","55.5992622375488","12.1550407409668","45.3140182495117","8.3411111831665","36.867359161377","24.3587989807129","67.5886917114258","104.376945495605","24.9113101959229","28.7169532775879","57.547492980957","18.5811805725098","44.0029411315918"
"417","16.5605926513672","20.9505996704102","41.9790954589844","15.0099678039551","80.7924041748047","16.2531337738037","50.9614906311035","17.0112724304199","59.1099319458008","19.2885036468506","57.5959281921387","12.2791585922241","45.951473236084","8.55083084106445","37.5584182739258","24.7586040496826","67.5799560546875","106.321899414062","25.2891864776611","29.0190353393555","57.7168846130371","19.0482120513916","44.6033096313477"
"418","17.6027317047119","21.439754486084","43.4834403991699","15.0758380889893","82.4479293823242","16.977123260498","52.6986236572266","17.2039222717285","58.9816627502441","19.69970703125","59.2758026123047","12.4446449279785","47.4070320129395","9.13427734375","38.2578010559082","25.8019962310791","69.4700088500977","109.432266235352","25.4457912445068","29.3022403717041","59.6960487365723","19.1065921783447","45.9452896118164"
"419","17.7069511413574","21.7350921630859","43.9374122619629","15.2981443405151","84.9179077148438","17.6767063140869","53.066089630127","18.465799331665","58.8704719543457","19.6518955230713","59.3430099487305","12.5191125869751","47.803165435791","9.16297054290771","38.2910995483398","26.0652828216553","70.563850402832","109.464385986328","25.5027370452881","29.2550392150879","60.7302169799805","19.2567100524902","46.6604232788086"
"420","16.7026977539062","21.3013134002686","42.450870513916","14.8699970245361","84.1034240722656","16.7086791992188","50.5856628417969","17.6277599334717","55.7063217163086","18.7147216796875","58.2870788574219","12.2295093536377","47.1859359741211","8.72299575805664","37.3502731323242","24.6513423919678","70.0475769042969","106.900581359863","24.2783756256104","27.895658493042","60.4716758728027","18.5645027160645","45.9276351928711"
"421","17.0721855163574","21.5966548919678","43.1006774902344","15.281681060791","84.8116607666016","16.944580078125","52.2058715820312","17.7048187255859","56.0740394592285","19.3171920776367","61.0324859619141","12.3784503936768","48.8257446289062","9.03862762451172","38.1495628356934","24.7878570556641","72.8441467285156","107.648025512695","24.7908992767334","28.2827033996582","63.7702941894531","18.8814163208008","46.2366409301758"
"422","18.0764350891113","22.270393371582","45.2904357910156","15.1005363464355","87.1045913696289","17.2862377166748","55.2040977478027","17.0401649475098","58.4941940307617","20.2065410614014","62.7891616821289","12.5522108078003","50.5300369262695","9.7559814453125","38.382682800293","25.8117408752441","74.3044052124023","112.09252166748","26.1386470794678","28.6697540283203","66.1952133178711","19.1065921783447","47.9406089782715"
"423","18.7111968994141","22.0673484802246","46.3763999938965","14.8699970245361","88.2023544311523","17.5628204345703","56.6656341552734","17.0016345977783","60.7262229919434","20.0248508453369","65.5249633789062","12.6515035629272","51.3775825500488","10.6741914749146","37.9830360412598","25.4119396209717","75.6938552856445","116.729888916016","26.3284645080566","29.5665645599365","67.5859909057617","19.8822021484375","48.6027717590332"
"424","19.7154388427734","23.2117862701416","48.6640701293945","15.8086376190186","91.4602737426758","18.1159801483154","60.4405632019043","17.9263744354248","63.112174987793","21.2967262268066","66.0433349609375","13.0073003768921","52.1882743835449","11.3245897293091","38.890567779541","27.4597206115723","77.2160415649414","120.603729248047","27.9134883880615","30.7277011871338","69.681037902832","19.9405765533447","50.0595283508301"
"425","19.0712051391602","22.8241519927979","47.204231262207","15.5698575973511","90.6103820800781","17.3675899505615","58.9539680480957","17.483268737793","59.0586128234863","21.067211151123","64.2770538330078","12.6515035629272","50.7327079772949","10.8080968856812","37.7998733520508","26.0847816467285","74.9062042236328","119.791976928711","27.0592842102051","30.1140918731689","69.6721496582031","19.5569438934326","49.2296180725098"
"426","18.6922454833984","22.5934181213379","46.2962837219238","15.240514755249","88.5299301147461","17.5221519470215","53.9179573059082","17.13649559021","59.2467575073242","20.8759536743164","62.9043388366699","12.1633167266846","50.3181571960449","10.6168041229248","36.8756866455078","25.9482688903809","73.4990615844727","119.406219482422","26.4898166656494","29.1983947753906","68.6290664672852","19.0482120513916","48.0024108886719"
"427","18.493293762207","23.0548877716064","46.830379486084","15.5286903381348","90.3448028564453","18.2217311859131","54.2687339782715","17.7626171112061","62.992431640625","22.0043849945068","62.9043388366699","12.4446449279785","51.6815795898438","10.7124490737915","39.5233383178711","26.9526500701904","74.9592971801758","119.325866699219","27.2585983276367","30.2651405334473","69.360107421875","19.6737060546875","49.7946586608887"
"428","18.4743423461914","22.4918994903564","46.5366287231445","15.4545860290527","90.6900482177734","18.2868099212646","53.8427963256836","17.7626171112061","60.7262229919434","21.3480358123779","62.136402130127","12.4860181808472","51.6171035766602","10.7411441802979","39.0404396057129","27.1281757354736","72.8087539672852","120.354598999023","26.7081146240234","30.3689765930176","68.3170394897461","19.7821216583252","49.5033111572266"
"429","18.8627758026123","22.5749607086182","47.7650184631348","15.380482673645","91.708137512207","18.4576377868652","55.9473915100098","17.7433490753174","64.0200881958008","21.3480358123779","64.929801940918","12.5522108078003","51.6539497375488","11.1237325668335","39.7731170654297","27.9472885131836","74.1982116699219","123.898918151855","26.9264125823975","30.4728202819824","69.1194076538086","19.7987995147705","49.9006118774414"
"430","19.8764972686768","22.1781044006348","49.5097007751465","15.3557815551758","92.5137634277344","19.2141647338867","59.6555061340332","17.637393951416","69.8854522705078","21.1564025878906","67.9535980224609","12.9824771881104","52.0592956542969","11.8219528198242","40.1727676391602","29.1564502716064","74.7026596069336","127.443252563477","27.1257190704346","31.5301170349121","68.0852508544922","20.1073741912842","51.8341217041016"
"431","22.0271034240723","22.4734382629395","51.9308967590332","15.6192579269409","96.4976119995117","20.832971572876","62.2862701416016","17.3195152282715","73.3341445922852","22.8427848815918","72.033317565918","13.1314163208008","52.805492401123","12.414963722229","41.2717933654785","30.4533729553223","77.3045501708984","131.477844238281","27.5907897949219","32.6157341003418","70.456672668457","20.2324714660645","53.7941246032715"
"432","21.9513092041016","22.4549827575684","52.3225517272949","15.7015953063965","97.1615829467773","19.9869594573975","62.2946166992188","16.7319221496582","72.3881149291992","23.3410301208496","70.8237915039062","13.4210195541382","52.6581039428711","11.841082572937","41.2468185424805","29.0296840667725","78.2957458496094","130.27229309082","28.1982231140137","32.3986129760742","71.8206939697266","20.1157150268555","53.7411575317383"
"433","20.4638900756836","22.1042671203613","51.5392227172852","15.2569799423218","96.9402694702148","19.3849945068359","61.4761581420898","17.0690650939941","69.6876525878906","22.4882564544678","67.6752166748047","12.9659309387207","51.4697074890137","11.4776239395142","40.4974822998047","27.9469242095947","75.5788040161133","126.125152587891","27.8565425872803","31.5206699371338","68.2724533081055","19.6486835479736","52.911247253418"
"434","20.4923095703125","22.5011291503906","52.8922348022461","15.8003978729248","98.5957717895508","19.4419364929199","62.7289047241211","18.0804977416992","69.6102600097656","23.1302318572998","68.0495834350586","13.4375677108765","53.597770690918","11.6880483627319","42.4207801818848","28.6395015716553","78.2692031860352","127.387016296387","28.4260139465332","32.4741325378418","72.542839050293","20.3492279052734","54.5357513427734"
"435","20.7386341094971","22.2980823516846","53.2572021484375","15.8909711837769","98.4364242553711","20.0438995361328","62.8959350585938","18.7258834838867","72.2763137817383","22.8427848815918","70.2574310302734","13.4044704437256","53.431941986084","11.9654245376587","41.9628524780273","30.2197456359863","77.6408462524414","132.273513793945","27.9039993286133","32.511890411377","73.5324096679688","20.2728900909424","54.1296234130859"
"436","20.1133480072021","22.4918994903564","52.6875","15.479284286499","98.7639846801758","19.9697875976562","62.6370239257812","18.0612277984619","70.5304718017578","23.015251159668","69.5854644775391","13.5285863876343","53.2016334533691","11.6689176559448","42.9619636535645","29.8783321380615","78.4638900756836","133.117385864258","27.533842086792","32.8234252929688","73.4789276123047","20.2983360290527","54.7123336791992"
"437","20.3975696563721","22.3534622192383","51.7706642150879","15.611026763916","97.6042327880859","20.2662487030029","62.1025199890137","17.9938011169434","72.491325378418","22.9673442840576","68.6159439086914","13.512038230896","53.3029747009277","11.5254468917847","42.7038612365723","28.5809688568115","77.7381973266602","133.221862792969","27.6382446289062","32.0776405334473","72.9529266357422","20.0777912139893","53.3173675537109"
"438","19.6585960388184","21.2459373474121","50.3642425537109","15.5204553604126","95.2936096191406","19.3604068756104","59.0040893554688","17.9552688598633","70.5992736816406","21.9133548736572","66.4774322509766","13.1727905273438","51.7829322814941","10.9611320495605","41.2468185424805","27.4787044525146","75.1628494262695","131.027725219727","26.6321792602539","31.0958633422852","70.715217590332","19.696081161499","52.1872787475586"
"439","19.8859748840332","22.1319561004639","50.5867767333984","15.2569799423218","95.6388778686523","19.5003967285156","61.1253852844238","18.1575546264648","70.0144729614258","22.3732814788818","68.2498931884766","13.4210195541382","51.7829322814941","11.1524257659912","41.896240234375","28.3273525238037","75.6318893432617","136.042861938477","26.8694629669189","31.4734783172607","70.5547409057617","19.8318061828613","52.4168281555176"
"440","18.2280178070068","21.2090225219727","47.5157928466797","14.7300233840942","92.1773529052734","18.4133815765381","57.5425491333008","16.9534721374512","64.6479110717773","21.2426376342773","64.8494415283203","13.040397644043","48.6875534057617","10.2150869369507","40.1311378479004","25.966739654541","72.0122680664062","130.103500366211","25.8633937835693","30.5766620635986","65.7048873901367","19.3058967590332","50.1566467285156"
