"","ADM","BF.B","BG","CAG","CHD","CL","CLX","COST","CPB","DG","DLTR","EL","GIS","HRL","HSY","K","KDP","KHC","KMB","KO","KR","LW","MDLZ","MKC","MNST","MO","PEP","PG","PM","SJM","STZ","SYY","TAP","TGT","TSN","WBA","WMT"
"445","53.1381988525391","65.6392364501953","71.6726608276367","33.732837677002","82.9991302490234","72.4486999511719","174.129196166992","331.499084472656","44.8777389526367","191.325225830078","111.080001831055","276.326324462891","54.2479972839355","45.0007171630859","147.945587158203","52.8119697570801","32.0735130310059","34.4743728637695","121.782699584961","47.4982490539551","34.2173919677734","76.7685317993164","54.3816070556641","83.9508209228516","44.3950004577637","40.2470016479492","128.488952636719","123.87052154541","75.6723175048828","115.812034606934","221.792068481445","73.8194427490234","46.3165168762207","179.629531860352","69.1499710083008","44.3311157226562","42.6725769042969"
"446","54.1004447937012","66.0486068725586","73.6992111206055","34.2849578857422","84.3020095825195","73.6857986450195","173.654525756836","336.935638427734","46.2412490844727","196.452270507812","114.389999389648","282.265014648438","55.560230255127","44.4716148376465","150.046432495117","53.6370239257812","32.7235298156738","35.2043151855469","123.093269348145","48.4295883178711","34.911304473877","77.5766220092773","55.1988105773926","85.3799819946289","45.8250007629395","42.0993728637695","131.314010620117","125.698699951172","77.284912109375","117.512985229492","225.773895263672","74.7840423583984","47.4906044006348","187.319961547852","69.7281341552734","44.6054458618164","43.0292091369629"
"447","53.3343849182129","67.0291366577148","72.2118301391602","34.4541549682617","85.4890975952148","74.3182983398438","178.172760009766","340.888702392578","47.2320785522461","196.752197265625","115.75","280.546112060547","56.9453620910645","45.177074432373","151.798751831055","54.6809730529785","32.9556732177734","35.8639030456543","124.691055297852","49.1691818237305","35.5864677429199","76.1817092895508","55.8860206604004","85.3042678833008","45.9599990844727","41.9390029907227","133.255645751953","127.666076660156","77.6347351074219","119.844955444336","226.416702270508","73.300048828125","48.914306640625","184.765808105469","70.1135787963867","45.3084373474121","43.519603729248"
"448","54.0910987854004","66.6388168334961","74.1918792724609","34.1246604919434","84.8521347045898","73.7881240844727","176.931381225586","334.762939453125","46.7048492431641","195.165679931641","116.230003356934","284.988098144531","56.3074760437012","44.7036819458008","149.660171508789","53.6791229248047","32.4170875549316","35.4241828918457","124.152488708496","48.5300331115723","35.7083778381348","75.9219589233398","54.8731307983398","85.0865936279297","45.3450012207031","41.1050338745117","131.166717529297","125.698699951172","76.2354507446289","117.558708190918","224.468963623047","74.0977020263672","48.3873558044434","186.108108520508","69.7005996704102","45.4198799133301","43.2234535217285"
"449","53.2503051757812","65.6582946777344","73.6899108886719","33.4834899902344","84.3020095825195","73.3230514526367","176.055130004883","337.375915527344","45.6958503723145","196.007308959961","114.459999084473","280.855163574219","55.8791809082031","44.3509483337402","149.000747680664","53.2918510437012","32.0533752441406","35.1779365539551","124.81672668457","48.1282730102539","33.74853515625","74.5366668701172","54.6397438049316","84.3862152099609","45.5449981689453","41.0248374938965","130.163696289062","125.680130004883","75.7149810791016","115.71142578125","218.760131835938","73.4447631835938","47.2872276306152","184.635314941406","68.1863632202148","47.0659065246582","43.2521171569824"
"450","53.8575477600098","66.3056411743164","74.5544509887695","33.2074317932129","83.5106430053711","73.0626068115234","176.009521484375","339.730499267578","45.4231491088867","195.794448852539","115.930000305176","282.284271240234","55.5146675109863","44.1838645935059","149.565979003906","53.3255271911621","32.174617767334","35.2043151855469","122.958618164062","47.9456596374512","33.7110252380371","75.1138687133789","54.5557289123535","84.4619216918945","45.6800003051758","40.8965339660645","130.007263183594","124.612953186035","75.1347961425781","115.455368041992","220.314453125","72.7452011108398","47.9805946350098","187.105545043945","68.7094650268555","46.9373054504395","43.1852493286133"
"451","53.7360992431641","67.1719360351562","73.3831481933594","33.3855361938477","84.417839050293","73.9741363525391","177.44255065918","345.358520507812","45.5322265625","201.416854858398","119.26000213623","285.123229980469","56.0705490112305","44.369514465332","150.121826171875","53.5781021118164","32.6409225463867","35.4505577087402","124.260177612305","48.2195892333984","34.4424514770508","77.5381469726562","54.9104690551758","84.3104858398438","46.7200012207031","41.153148651123","131.737289428711","126.626731872559","75.5955352783203","116.22354888916","220.947708129883","73.9484558105469","48.7663993835449","191.421493530273","68.4800415039062","48.6947860717773","44.3984603881836"
"452","54.2218856811523","67.543212890625","73.7270965576172","33.5013008117676","85.1320190429688","74.2810745239258","177.11393737793","344.688598632812","45.5322265625","199.33268737793","117.610000610352","284.862579345703","56.2619094848633","44.6294288635254","151.450149536133","53.8980140686035","32.7061958312988","35.7935485839844","123.919097900391","48.5665473937988","34.5924835205078","77.8459854125977","55.1625289916992","84.9256896972656","46.8650016784668","41.2012596130371","132.206588745117","126.673133850098","75.6211166381836","116.817962646484","226.723724365234","75.7859802246094","48.4520645141602","191.496078491211","69.6455383300781","47.7517509460449","44.6118011474609"
"453","54.035041809082","67.0005645751953","73.0484771728516","33.1629028320312","84.7942276000977","74.057861328125","177.077423095703","343.434692382812","45.0743408203125","199.429626464844","117.160003662109","284.988098144531","55.9429664611816","44.118896484375","151.271148681641","53.6033477783203","32.8927192687988","35.7407836914062","122.922714233398","48.6487274169922","34.836296081543","75.0272903442383","55.2558784484863","84.3862152099609","47.1150016784668","41.0007858276367","131.967346191406","126.895835876465","75.3224868774414","116.918556213379","225.418838500977","75.226318359375","47.8141822814941","190.582550048828","69.4895172119141","47.6488761901855","44.5162773132324"
"454","54.3153114318848","67.6384124755859","72.8718490600586","33.2163352966309","84.2634048461914","74.0764617919922","176.045974731445","345.741455078125","44.643928527832","200.844924926758","116.879997253418","288.319488525391","56.0072860717773","43.8311386108398","150.837814331055","53.763313293457","32.9300270080566","35.8902893066406","123.470275878906","48.502628326416","34.911304473877","74.6713485717773","55.0598373413086","84.8405075073242","47.6500015258789","41.2814445495605","131.166717529297","127.378425598145","76.3122406005859","117.17463684082","215.12370300293","75.1890106201172","47.6847534179688","189.659698486328","70.0493392944336","46.9716033935547","44.487621307373"
